EmpleadoId;Fecha;Entrada;Salida
4296862;01/03/2021;;
4296862;02/03/2021;;
4296862;03/03/2021;;
4296862;04/03/2021;;
4296862;05/03/2021;;
4296862;06/03/2021;;
4296862;07/03/2021;;
4296862;08/03/2021;;
4296862;09/03/2021;;
4296862;10/03/2021;;
4296862;11/03/2021;;
4296862;12/03/2021;;
4296862;13/03/2021;;
4296862;14/03/2021;;
4296862;15/03/2021;;
4296862;16/03/2021;;
4296862;17/03/2021;;
4296862;18/03/2021;;
4296862;19/03/2021;;
4296862;20/03/2021;;
4296862;21/03/2021;;
4296862;22/03/2021;;
4296862;23/03/2021;;
4296862;24/03/2021;;
4296862;25/03/2021;;
4296862;26/03/2021;;
4296862;27/03/2021;;
4296862;28/03/2021;;
4296862;29/03/2021;;
4296862;30/03/2021;;
4296862;31/03/2021;;
4296862;01/04/2021;;
4296862;02/04/2021;;
4296862;03/04/2021;;
4296862;04/04/2021;;
4296862;05/04/2021;;
4296862;06/04/2021;;
4296862;07/04/2021;;
4296862;08/04/2021;;
4296862;09/04/2021;;
4296862;10/04/2021;;
4296862;11/04/2021;;
4296862;12/04/2021;;
4296862;13/04/2021;;
4296862;14/04/2021;;
4296862;15/04/2021;;
4296862;16/04/2021;;
4296862;17/04/2021;;
4296862;18/04/2021;;
4296862;19/04/2021;;
4296862;20/04/2021;;
4296862;21/04/2021;;
4296862;22/04/2021;;
4296862;23/04/2021;;
4296862;24/04/2021;;
4296862;25/04/2021;;
4296862;26/04/2021;;
4296862;27/04/2021;;
4296862;28/04/2021;;
4296862;29/04/2021;;
4296862;30/04/2021;;
4296862;01/05/2021;;
4296862;02/05/2021;;
4296862;03/05/2021;;
4296862;04/05/2021;;
4296862;05/05/2021;;
4296862;06/05/2021;;
4296862;07/05/2021;;
4296862;08/05/2021;;
4296862;09/05/2021;;
4296862;10/05/2021;;
4296862;11/05/2021;;
4296862;12/05/2021;;
4296862;13/05/2021;;
4296862;14/05/2021;;
4296862;15/05/2021;;
4296862;16/05/2021;;
4296862;17/05/2021;;
4296862;18/05/2021;;
4296862;19/05/2021;;
4296862;20/05/2021;;
4296862;21/05/2021;;
4296862;22/05/2021;;
4296862;23/05/2021;;
4296862;24/05/2021;;
4296862;25/05/2021;;
4296862;26/05/2021;;
4296862;27/05/2021;;
4296862;28/05/2021;;
4296862;29/05/2021;;
4296862;30/05/2021;;
4296862;31/05/2021;;
4296862;01/06/2021;;
4296862;02/06/2021;;
4296862;03/06/2021;;
4296862;04/06/2021;;
4296862;05/06/2021;;
4296862;06/06/2021;;
4296862;07/06/2021;;
4296862;08/06/2021;;
4296862;09/06/2021;09/06/2021 08:32;
4296862;10/06/2021;10/06/2021 08:08;
4296862;11/06/2021;11/06/2021 07:52;11/06/2021 14:02
4296862;12/06/2021;;
4296862;13/06/2021;;
4296862;14/06/2021;14/06/2021 07:51;
4296862;15/06/2021;15/06/2021 07:58;
